"Clusters_version","CloneClassID","NumberOfVersions","GroupName"
1,8204,21,"Long-lived"
1,531,36,"Long-lived"
1,507,21,"Long-lived"
1,481,23,"Long-lived"
1,436,24,"Long-lived"
1,10,29,"Long-lived"
1,602,27,"Long-lived"
1,835,32,"Long-lived"
1,719,30,"Long-lived"
1,530,32,"Long-lived"
1,836,32,"Long-lived"
1,439,23,"Long-lived"
1,7853,24,"Long-lived"
1,691,38,"Long-lived"
1,485,23,"Long-lived"
1,839,25,"Long-lived"
1,5813,26,"Long-lived"
1,8353,23,"Long-lived"
1,5466,28,"Long-lived"
1,212,21,"Long-lived"
1,373,27,"Long-lived"
1,1071,21,"Long-lived"
1,5792,26,"Long-lived"
1,11,32,"Long-lived"
1,8408,24,"Long-lived"
1,529,32,"Long-lived"
1,7869,29,"Long-lived"
1,8188,23,"Long-lived"
1,8187,23,"Long-lived"
1,8186,23,"Long-lived"
1,33,27,"Long-lived"
1,702,36,"Long-lived"
2,547,15,"Long-lived"
2,567,16,"Long-lived"
2,506,13,"Long-lived"
2,8199,10,"Long-lived"
2,133,10,"Long-lived"
2,64,11,"Long-lived"
2,833,18,"Long-lived"
2,5413,11,"Long-lived"
2,661,10,"Long-lived"
2,202,9,"Long-lived"
2,573,9,"Long-lived"
2,391,16,"Long-lived"
2,235,15,"Long-lived"
2,96,13,"Long-lived"
2,873,11,"Long-lived"
2,367,15,"Long-lived"
2,366,15,"Long-lived"
2,849,9,"Long-lived"
2,115,15,"Long-lived"
2,8205,10,"Long-lived"
2,7691,15,"Long-lived"
2,725,15,"Long-lived"
2,137,16,"Long-lived"
2,29464,16,"Long-lived"
2,400,15,"Long-lived"
2,8064,9,"Long-lived"
2,551,15,"Long-lived"
2,2,13,"Long-lived"
2,309,15,"Long-lived"
2,427,15,"Long-lived"
2,570,15,"Long-lived"
2,8206,9,"Long-lived"
2,19787,12,"Long-lived"
2,5582,19,"Long-lived"
2,24129,12,"Long-lived"
2,582,13,"Long-lived"
2,249,9,"Long-lived"
2,29497,11,"Long-lived"
2,5062,9,"Long-lived"
2,77,15,"Long-lived"
2,265,9,"Long-lived"
2,693,19,"Long-lived"
2,20392,12,"Long-lived"
2,963,11,"Long-lived"
2,563,16,"Long-lived"
2,1084,13,"Long-lived"
2,122,15,"Long-lived"
2,8561,19,"Long-lived"
2,28405,9,"Long-lived"
2,960,15,"Long-lived"
2,28408,12,"Long-lived"
2,5398,11,"Long-lived"
2,8427,17,"Long-lived"
2,879,9,"Long-lived"
2,236,9,"Long-lived"
2,8842,18,"Long-lived"
2,3,13,"Long-lived"
2,365,15,"Long-lived"
2,278,9,"Long-lived"
2,700,16,"Long-lived"
2,7895,15,"Long-lived"
2,306,16,"Long-lived"
2,1081,15,"Long-lived"
2,15113,11,"Long-lived"
2,18036,10,"Long-lived"
2,701,16,"Long-lived"
2,7868,10,"Long-lived"
3,143,4,"Short-lived"
3,203,2,"Short-lived"
3,317,4,"Short-lived"
3,5319,6,"Short-lived"
3,228,4,"Short-lived"
3,201,6,"Short-lived"
3,5324,2,"Short-lived"
3,645,6,"Short-lived"
3,6005,5,"Short-lived"
3,726,4,"Short-lived"
3,488,6,"Short-lived"
3,88,4,"Short-lived"
3,5415,2,"Short-lived"
3,720,4,"Short-lived"
3,715,4,"Short-lived"
3,589,6,"Short-lived"
3,2707,4,"Short-lived"
3,6248,2,"Short-lived"
3,36696,6,"Short-lived"
3,6176,2,"Short-lived"
3,635,6,"Short-lived"
3,6175,2,"Short-lived"
3,5294,2,"Short-lived"
3,286,6,"Short-lived"
3,54,6,"Short-lived"
3,5315,2,"Short-lived"
3,382,4,"Short-lived"
3,6172,2,"Short-lived"
3,6171,2,"Short-lived"
3,89,6,"Short-lived"
3,390,6,"Short-lived"
3,910,4,"Short-lived"
3,909,4,"Short-lived"
3,20182,4,"Short-lived"
3,782,6,"Short-lived"
3,8089,5,"Short-lived"
3,5586,2,"Short-lived"
3,850,6,"Short-lived"
3,287,6,"Short-lived"
3,12177,7,"Short-lived"
3,319,4,"Short-lived"
3,318,6,"Short-lived"
3,5787,2,"Short-lived"
3,33739,2,"Short-lived"
3,237,4,"Short-lived"
3,5946,2,"Short-lived"
3,37677,1,"Short-lived"
3,5945,2,"Short-lived"
3,5367,2,"Short-lived"
3,199,4,"Short-lived"
3,6174,2,"Short-lived"
3,5587,2,"Short-lived"
3,371,4,"Short-lived"
3,35,4,"Short-lived"
3,5823,5,"Short-lived"
3,30284,7,"Short-lived"
3,5295,2,"Short-lived"
3,36645,3,"Short-lived"
3,5819,2,"Short-lived"
3,5183,5,"Short-lived"
3,259,6,"Short-lived"
3,19784,7,"Short-lived"
3,41038,7,"Short-lived"
3,12241,6,"Short-lived"
3,5297,2,"Short-lived"
3,11815,6,"Short-lived"
3,117,6,"Short-lived"
3,6059,5,"Short-lived"
3,14804,2,"Short-lived"
3,7892,7,"Short-lived"
3,5296,2,"Short-lived"
3,5323,2,"Short-lived"
3,18094,3,"Short-lived"
3,5585,2,"Short-lived"
3,5312,2,"Short-lived"
3,8017,3,"Short-lived"
3,24340,1,"Short-lived"
3,14077,3,"Short-lived"
3,5584,2,"Short-lived"
3,6173,2,"Short-lived"
3,12178,7,"Short-lived"
3,8843,4,"Short-lived"
3,38873,1,"Short-lived"
